Index,GPS time,X,Y,Z,Lat,Lon,Alt (HAE)
192,5976,-2430880.798,-4703003.814,3545702.656,33.99023,-117.333463,276.514
193,5977,-2430892.044,-4702997.58,3545702.434,33.99023017,-117.3336022,276.08
194,5978,-2430903.545,-4702991.227,3545702.209,33.99023033,-117.3337443,275.654
195,5979,-2430915.205,-4702984.799,3545701.981,33.99023033,-117.3338883,275.23
196,5980,-2430926.79,-4702978.391,3545701.809,33.990231,-117.3340315,274.825
197,5981,-2430938.247,-4702972.021,3545701.646,33.99023183,-117.3341733,274.404
198,5982,-2430949.606,-4702965.743,3545701.495,33.9902325,-117.3343138,274.02
199,5983,-2430960.825,-4702959.468,3545701.326,33.99023333,-117.3344528,273.575
200,5984,-2430971.976,-4702953.206,3545701.136,33.99023417,-117.3345912,273.102
201,5985,-2430983.274,-4702946.903,3545700.995,33.99023517,-117.3347312,272.682
202,5986,-2430994.615,-4702940.564,3545700.864,33.99023633,-117.3348717,272.258
203,5987,-2431005.66,-4702934.464,3545700.778,33.9902375,-117.3350082,271.922
204,5988,-2431016.154,-4702928.659,3545700.746,33.99023883,-117.3351378,271.624
205,5989,-2431026.147,-4702923.095,3545700.721,33.9902405,-117.3352617,271.316
206,5990,-2431036.024,-4702917.58,3545700.701,33.99024217,-117.335384,271.003
207,5991,-2431046.129,-4702911.958,3545700.721,33.99024417,-117.335509,270.721
208,5992,-2431056.655,-4702906.037,3545700.741,33.9902465,-117.3356397,270.379
209,5993,-2431067.698,-4702899.853,3545700.708,33.99024833,-117.3357765,270.011
210,5994,-2431079.231,-4702893.489,3545700.637,33.9902495,-117.335919,269.674
211,5995,-2431091.208,-4702886.928,3545700.545,33.9902505,-117.3360668,269.351
212,5996,-2431103.581,-4702880.125,3545700.465,33.99025183,-117.3362197,269.006
213,5997,-2431116.345,-4702873.08,3545700.387,33.99025317,-117.3363773,268.634
214,5998,-2431129.502,-4702865.851,3545700.266,33.99025417,-117.3365397,268.251
215,5999,-2431142.926,-4702858.369,3545700.247,33.9902565,-117.336706,267.842
216,6000,-2431156.417,-4702850.894,3545700.226,33.9902585,-117.3368728,267.461
217,6001,-2431169.941,-4702843.435,3545700.192,33.99026033,-117.33704,267.097
218,6002,-2431183.479,-4702836.008,3545700.16,33.990262,-117.337207,266.763
219,6003,-2431197.043,-4702828.636,3545700.081,33.99026317,-117.337374,266.454
220,6004,-2431210.569,-4702821.202,3545699.968,33.99026417,-117.337541,266.066
221,6005,-2431223.977,-4702813.766,3545699.89,33.99026583,-117.3377068,265.651
222,6006,-2431237.329,-4702806.409,3545699.762,33.990267,-117.3378718,265.244
223,6007,-2431250.635,-4702799.03,3545699.6,33.990268,-117.3380363,264.786
224,6008,-2431263.81,-4702791.767,3545699.531,33.9902695,-117.3381992,264.414
225,6009,-2431276.475,-4702784.766,3545699.555,33.99027167,-117.3383557,264.093
226,6010,-2431288.183,-4702778.267,3545699.653,33.9902745,-117.3385005,263.819
227,6011,-2431299.14,-4702771.965,3545699.979,33.99027983,-117.3386372,263.533
228,6012,-2431309.688,-4702765.677,3545700.655,33.9902885,-117.3387698,263.295
229,6013,-2431319.719,-4702759.701,3545701.271,33.99029667,-117.338896,263.058
230,6014,-2431329.619,-4702753.912,3545701.697,33.99030283,-117.33902,262.803
231,6015,-2431339.387,-4702748.383,3545701.953,33.990307,-117.3391413,262.593
232,6016,-2431348.736,-4702743.24,3545702.031,33.99030883,-117.3392568,262.409
233,6017,-2431357.072,-4702738.636,3545702.096,33.99031067,-117.3393598,262.228
234,6018,-2431364.228,-4702734.659,3545702.185,33.99031267,-117.3394483,262.074
235,6019,-2431369.97,-4702731.385,3545702.303,33.99031483,-117.3395198,261.915
236,6020,-2431374.144,-4702728.944,3545702.586,33.99031817,-117.3395722,261.864
237,6021,-2431376.52,-4702727.404,3545702.846,33.9903215,-117.3396027,261.781
238,6022,-2431377.364,-4702726.836,3545702.974,33.99032317,-117.3396135,261.756
239,6023,-2431377.617,-4702726.664,3545703.02,33.99032367,-117.3396168,261.751
240,6024,-2431378.002,-4702726.406,3545703.097,33.9903245,-117.3396218,261.751
241,6025,-2431378.348,-4702726.158,3545703.167,33.99032533,-117.3396263,261.739
242,6026,-2431378.582,-4702725.989,3545703.221,33.990326,-117.3396295,261.733
243,6027,-2431378.586,-4702725.988,3545703.22,33.990326,-117.3396295,261.733
244,6028,-2431378.586,-4702725.99,3545703.224,33.990326,-117.3396295,261.737
245,6029,-2431378.587,-4702725.988,3545703.221,33.990326,-117.3396295,261.734
246,6030,-2431378.587,-4702725.988,3545703.223,33.990326,-117.3396295,261.735
247,6031,-2431378.585,-4702725.986,3545703.22,33.990326,-117.3396295,261.732
248,6032,-2431378.586,-4702725.989,3545703.222,33.990326,-117.3396295,261.735
249,6033,-2431378.585,-4702725.987,3545703.222,33.990326,-117.3396295,261.733
250,6034,-2431378.585,-4702725.982,3545703.218,33.990326,-117.3396295,261.727
251,6035,-2431378.585,-4702725.985,3545703.22,33.990326,-117.3396295,261.731
252,6036,-2431378.584,-4702725.985,3545703.221,33.990326,-117.3396295,261.731
253,6037,-2431378.584,-4702725.986,3545703.219,33.990326,-117.3396295,261.731
254,6038,-2431378.586,-4702725.985,3545703.218,33.990326,-117.3396295,261.73
255,6039,-2431378.585,-4702725.985,3545703.22,33.990326,-117.3396295,261.73
256,6040,-2431378.588,-4702725.986,3545703.221,33.990326,-117.3396295,261.733
257,6041,-2431378.588,-4702725.986,3545703.221,33.990326,-117.3396295,261.733
258,6042,-2431378.59,-4702725.987,3545703.222,33.990326,-117.3396297,261.735
259,6043,-2431378.59,-4702725.985,3545703.22,33.990326,-117.3396297,261.732
260,6044,-2431378.588,-4702725.986,3545703.221,33.990326,-117.3396295,261.734
261,6045,-2431378.59,-4702725.987,3545703.221,33.990326,-117.3396297,261.734
262,6046,-2431378.588,-4702725.984,3545703.22,33.990326,-117.3396295,261.731
263,6047,-2431378.588,-4702725.985,3545703.221,33.990326,-117.3396295,261.733
264,6048,-2431378.59,-4702725.984,3545703.22,33.990326,-117.3396297,261.732
265,6049,-2431378.589,-4702725.987,3545703.22,33.990326,-117.3396295,261.734
266,6050,-2431378.59,-4702725.987,3545703.22,33.990326,-117.3396297,261.734
267,6051,-2431378.591,-4702725.984,3545703.222,33.990326,-117.3396297,261.733
268,6052,-2431378.592,-4702725.989,3545703.224,33.990326,-117.3396297,261.738
269,6053,-2431378.605,-4702725.972,3545703.224,33.990326,-117.3396298,261.731
270,6054,-2431378.761,-4702725.866,3545703.264,33.99032633,-117.3396318,261.734
271,6055,-2431378.883,-4702725.774,3545703.291,33.99032667,-117.3396335,261.728
272,6056,-2431378.929,-4702725.74,3545703.302,33.99032683,-117.339634,261.727
273,6057,-2431378.928,-4702725.737,3545703.298,33.99032683,-117.339634,261.722
274,6058,-2431378.93,-4702725.737,3545703.302,33.99032683,-117.3396342,261.725
275,6059,-2431378.944,-4702725.721,3545703.302,33.99032683,-117.3396343,261.719
276,6060,-2431379.449,-4702725.342,3545703.441,33.9903285,-117.339641,261.71
277,6061,-2431381.103,-4702723.823,3545704.235,33.99033733,-117.3396645,261.664
278,6062,-2431383.072,-4702721.014,3545706.42,33.99036167,-117.3396973,261.567
279,6063,-2431383.962,-4702717.378,3545710.437,33.990406,-117.339724,261.474
280,6064,-2431383.099,-4702713.551,3545715.974,33.9904665,-117.3397347,261.422
281,6065,-2431381.389,-4702709.402,3545722.485,33.99053767,-117.339739,261.355
282,6066,-2431379.65,-4702704.634,3545729.827,33.990618,-117.3397458,261.285
283,6067,-2431377.943,-4702699.232,3545737.937,33.99070667,-117.3397563,261.191
284,6068,-2431375.9,-4702693.395,3545746.839,33.99080417,-117.3397657,261.091
285,6069,-2431373.415,-4702687.2,3545756.483,33.99090967,-117.3397727,260.973
286,6070,-2431370.497,-4702680.792,3545766.824,33.99102233,-117.3397765,260.924
287,6071,-2431367.148,-4702674.177,3545777.673,33.99114083,-117.3397772,260.842
288,6072,-2431363.645,-4702667.36,3545788.809,33.99126267,-117.3397773,260.713
289,6073,-2431360.176,-4702660.472,3545800,33.99138517,-117.3397782,260.576
290,6074,-2431356.723,-4702653.568,3545811.212,33.991508,-117.3397793,260.444
291,6075,-2431353.182,-4702646.403,3545822.968,33.99163617,-117.3397808,260.391
292,6076,-2431349.442,-4702638.813,3545835.503,33.99177233,-117.3397827,260.385
293,6077,-2431345.375,-4702630.75,3545848.739,33.99191683,-117.3397837,260.297
294,6078,-2431341.188,-4702622.174,3545862.726,33.9920695,-117.339786,260.207
295,6079,-2431336.837,-4702613.131,3545877.358,33.99222933,-117.3397892,260.07
296,6080,-2431332.356,-4702603.716,3545892.493,33.992395,-117.3397928,259.892
297,6081,-2431327.79,-4702594.135,3545907.968,33.99256417,-117.3397965,259.749
298,6082,-2431323.139,-4702584.423,3545923.593,33.99273517,-117.3398002,259.56
299,6083,-2431318.438,-4702574.639,3545939.387,33.992908,-117.3398035,259.395
300,6084,-2431313.659,-4702564.757,3545955.317,33.99308233,-117.3398067,259.204
301,6085,-2431308.738,-4702554.851,3545971.449,33.99325867,-117.3398087,259.053
302,6086,-2431303.671,-4702544.817,3545987.855,33.993438,-117.3398098,258.906
303,6087,-2431298.528,-4702534.67,3546004.515,33.99361983,-117.3398108,258.789
304,6088,-2431293.419,-4702524.619,3546021.062,33.99380033,-117.3398117,258.693
305,6089,-2431288.322,-4702514.685,3546037.337,33.99397817,-117.339812,258.536
306,6090,-2431283.194,-4702504.899,3546053.467,33.9941545,-117.3398113,258.394
307,6091,-2431278.236,-4702495.421,3546069.394,33.9943275,-117.3398108,258.43
308,6092,-2431273.279,-4702485.706,3546084.914,33.99449833,-117.3398115,258.066
309,6093,-2431268.433,-4702475.668,3546100.611,33.99467183,-117.3398148,257.604
310,6094,-2431263.488,-4702465.55,3546116.472,33.99484717,-117.3398175,257.138
311,6095,-2431258.285,-4702455.499,3546132.466,33.99502383,-117.3398175,256.697
312,6096,-2431252.91,-4702445.322,3546148.703,33.99520317,-117.3398163,256.233
313,6097,-2431247.463,-4702435.077,3546165.246,33.99538533,-117.339815,255.864
314,6098,-2431241.952,-4702424.658,3546182.022,33.99557,-117.3398137,255.472
315,6099,-2431236.459,-4702414.115,3546199.057,33.99575733,-117.3398133,255.14
316,6100,-2431230.937,-4702403.459,3546216.325,33.99594683,-117.3398132,254.846
317,6101,-2431225.339,-4702392.678,3546233.822,33.99613883,-117.339813,254.557
318,6102,-2431219.712,-4702381.828,3546251.33,33.99633133,-117.3398128,254.214
319,6103,-2431214.174,-4702371.038,3546268.747,33.99652267,-117.3398132,253.897
320,6104,-2431208.677,-4702360.368,3546285.946,33.99671167,-117.3398133,253.562
321,6105,-2431203.214,-4702349.917,3546302.921,33.996898,-117.3398128,253.277
322,6106,-2431197.773,-4702339.558,3546319.657,33.997082,-117.339812,252.934
323,6107,-2431192.427,-4702329.264,3546336.184,33.997264,-117.3398118,252.559
324,6108,-2431187.186,-4702319.14,3546352.514,33.9974435,-117.3398117,252.238
325,6109,-2431182.006,-4702308.895,3546368.924,33.997624,-117.3398128,251.896
326,6110,-2431176.667,-4702298.195,3546385.805,33.9978105,-117.3398147,251.423
327,6111,-2431171.164,-4702287.353,3546403.087,33.998001,-117.3398157,251.006
328,6112,-2431165.564,-4702276.606,3546420.437,33.99819167,-117.3398152,250.661
329,6113,-2431159.893,-4702265.827,3546437.956,33.998384,-117.3398143,250.359
330,6114,-2431154.223,-4702254.915,3546455.644,33.99857817,-117.339814,250.056
331,6115,-2431148.493,-4702244.031,3546473.396,33.998773,-117.339813,249.784
332,6116,-2431142.848,-4702233.135,3546491.166,33.99896767,-117.339813,249.547
333,6117,-2431137.207,-4702222.207,3546509.151,33.999164,-117.339813,249.408
